RICE;RICE_KEY;RICE base;Tipo comparação;Presente Empresa;Presente Consultoria;Origem;Qtd registros na origem;Fases encontradas na origem;Responsáveis consolidados;Status consolidado origem;Fase consolidada origem;Total registros Empresa;Total registros Consultoria;__origem;__arquivo;Identificação da tarefa;Nome da tarefa;Categoria;Meta;Status;Prioridade;Atribuído a;Criado por;Criado em;Data de conclusão;Data de início;É Recorrente;Atrasados;Concluído em;Concluída por;Itens concluídos da lista de verificação;Itens da lista de verificação;Rótulos;Notas
APO 110;APO110;APO 110;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Não iniciado;07|Ajuste|Cons;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;Vumz7fEFMkqeMPZCXUlX6WUAEa6q;PFC 320 | APO 10 | APO 110 | PPX 490 - Interface - Conta Corrente Integrado;07|Ajuste|Cons;;Não iniciado;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2025-09-26;2025-09-25;;true;;;;;16|Agrosys - Frango Corte e Peixe;
APO 110 INT;APO110INT;APO 110 INT;Só na Consultoria;Não;Sim;Consultoria;1;07|Ajuste|Cons;Priscila Santos;Em andamento;07|Ajuste|Cons;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Sytk9VMdwUSWfQRAo4ZAL2UAJZOh;PFC 320 |PPX 490 |APO 10  - APO 110 Interface - Conta Corrente Integrado - CPR#02;07|Ajuste|Cons;;Em andamento;Média;"Priscila Santos;";Kauan Rossa;2025-12-23;2026-02-27;;;true;;;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Interface - Conta Corrente Integrado - CPR#02
APO 80;APO80;APO 80;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;Jean Piere Moretto;Não iniciado;08|Pré-Teste|Parceiro;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;WWCeHhcyUUG-Ok__bqMx5mUAKSto;APO 80 - Interface - Agregar ao Ativo Biológico (Movimento Recria e Produção);08|Pré-Teste|Parceiro;;Não iniciado;Média;Jean Piere Moretto;Jean Piere Moretto;2026-01-29;2026-01-29;2026-01-23;;true;;;;;13|Agrosys - Matrizes L/P;
APO 80 INT;APO80INT;APO 80 INT;Só na Consultoria;Não;Sim;Consultoria;1;10|Deploy;Priscila Santos;Concluída;10|Deploy;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;VeYo1YM8UEqCkXcQ5GnROWUAOhkR;APO 80 Interface - Agregar ao Ativo Biológico (Movimento Recria e Produção) - PPE#02;10|Deploy;;Concluída;Média;Priscila Santos;Kauan Rossa;2025-12-23;2026-02-16;;;false;2026-02-26;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Interface - Agregar ao Ativo Biológico (Movimento Recria e Produção) - PPE#02
CEP#001;CEP#001;CEP#001;Só na Empresa;Sim;Não;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Elab.Rot.Teste | 05|Em construção | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Camila Lorena Raymundo Maciel; Josimesio Pereira - Programa Conecta";Em andamento;09|Teste|Key User;13;0;Empresa;Programa Conecta - Acompanhamento interno.xlsx;DcISS1l1wkW3dolC6Anxy2UADLmR;CEP#001 - Alocação de Custos Indiretos - Origem Contabilidade;09|Teste|Key User;;Em andamento;Média;"Camila Lorena Raymundo Maciel;Josimesio Pereira - Programa Conecta";Jean Piere Moretto;2026-01-29;2026-05-08;2026-04-24;;true;;;;;19|Oracle/Ninecon;
CEP#002;CEP#002;CEP#002;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Camila Lorena Raymundo Maciel; Josimesio Pereira - Programa Conecta";Em andamento;01|Doc. Funcional (EF);13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;11qdB7WXwk2M6iE1MhHAm2UANJzQ;CEP#002 - Criar Ativo Automaticamente;01|Doc. Funcional (EF);;Em andamento;Média;"Camila Lorena Raymundo Maciel;Josimesio Pereira - Programa Conecta";Jean Piere Moretto;2026-01-29;2026-02-17;2026-02-03;;true;;;;;19|Oracle/Ninecon;
CEP#002;CEP#002;CEP#002;RICE igual;Sim;Sim;Consultoria;1;03|Aprov. (EF);"Leandro Rosa; Roberto Costa; Mario Junio da Silva; Osni Campos";Em andamento;03|Aprov. (EF);13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;SFSptaeHzkmDidiIAFNtBWUABuri;CEP#002;03|Aprov. (EF);;Em andamento;Importante;"Leandro Rosa;Roberto Costa;;Mario Junio da Silva;Osni Campos";;2025-12-02;2026-05-11;;;true;;;;;"Durante SIT;Ninecon";Criar Ativo Automaticamente
CEP#003;CEP#003;CEP#003;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Camila Lorena Raymundo Maciel; Josimesio Pereira - Programa Conecta";Não iniciado;10|Deploy;13;3;Empresa;Programa Conecta - Acompanhamento interno.xlsx;BzoDgRWQxkStrW2PGa-I3mUANgtP;CEP#003 - Integração AgroSys Criar Projetos ;10|Deploy;;Não iniciado;Urgente;"Camila Lorena Raymundo Maciel;Josimesio Pereira - Programa Conecta";Jean Piere Moretto;2026-01-29;2026-01-21;2026-01-21;;true;;;;;19|Oracle/Ninecon;Continua em Deploy . Essa semana foram feitos mais testes pois havia um erro de integração entre a Agrosys e Oracle. O erro erra configuraçao errada do payload de envio pra criar o projeto por parte da agrosys
CEP#003;CEP#003;CEP#003;RICE igual;Sim;Sim;Consultoria;3;10|Deploy;"Roberto Costa; Isabella Cristina Genuino; Mario Junio da Silva; Priscila Santos";Concluída;10|Deploy;13;3;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Qh2WQ5sDR0GQUqM2T9yLjGUAOu7L;PPO 150 Ativo Biológico - CEP#003;10|Deploy;;Concluída;Média;Priscila Santos;renan.strapazzon;2026-01-20;2026-01-20;;;false;2026-02-23;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Ativo Biológico - CEP#003
CEP#004;CEP#004;CEP#004;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Rafael Minski; Rodrigo Veiss | Custos | Cascavel; Josimesio Pereira - Programa Conecta; Paulo Henrique de Freitas Pacheco";Não iniciado;09|Ajuste|Key User;13;3;Empresa;Programa Conecta - Acompanhamento interno.xlsx;D_vpGPbBZ0eRDNntYqaIE2UAHgk7;CEP#004 - Integração AgroSys Criar Ativos no Projeto ;09|Ajuste|Key User;;Não iniciado;Média;"Rafael Minski;Rodrigo Veiss | Custos | Cascavel;Josimesio Pereira - Programa Conecta;Paulo Henrique de Freitas Pacheco";Jean Piere Moretto;2026-01-29;2026-02-19;2026-02-05;;true;;;;;19|Oracle/Ninecon;
CEP#004;CEP#004;CEP#004;RICE igual;Sim;Sim;Consultoria;3;10|Deploy;"Leandro Rosa; Roberto Costa; Mario Junio da Silva; Osni Campos; Priscila Santos";Concluída;10|Deploy;13;3;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;GVqS-aYn7kCSW4yAeK5RNWUAHKsP;CEP#004 - TRP 60#005 Programação de Transferência de Matrizes (Recria para Produção) - CEP#004/PPE#01;10|Deploy;;Concluída;Média;Priscila Santos;Kauan Rossa;2025-12-23;2026-03-17;;;false;2026-03-04;Renan Strapazzon;;;"Integração - Agrosys;SIT - Agrosys;Agrosys";Programação de Transferência de Matrizes (Recria para Produção) - CEP#04/PPE#01
CEP#007;CEP#007;CEP#007;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Camila Lorena Raymundo Maciel; Josimesio Pereira - Programa Conecta";Não iniciado;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;3pThSgk9kkWLgqHcZLZcnWUAIaQo;CEP#007 - Bloquear alterações de Projetos;10|Deploy;;Não iniciado;Média;"Camila Lorena Raymundo Maciel;Josimesio Pereira - Programa Conecta";Jean Piere Moretto;2026-01-29;2026-05-11;2026-05-08;;true;;;;;19|Oracle/Ninecon;
CEP#007;CEP#007;CEP#007;RICE igual;Sim;Sim;Consultoria;1;10|Deploy;"Roberto Costa; Fabiano Anjos; Marcel Fabris; Mario Junio da Silva; Anderson Oliveira do Nascimento";Concluída;10|Deploy;13;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;Y0vEjFzlX0ekYEd3fnDOFGUAMbau;CEP#007;10|Deploy;;Concluída;Importante;"Roberto Costa;;Fabiano Anjos;Marcel Fabris;Mario Junio da Silva;Anderson Oliveira do Nascimento";;2025-12-02;2026-05-11;;;false;2026-04-27;Isabella Cristina Genuino;;;"Durante SIT;Ninecon";Bloquear alterações de Projetos
CON#02;CON#02;CON#02;Só na Consultoria;Não;Sim;Consultoria;1;08|Pré-Teste|Parceiro;"marina.guerreiro; Leandro Rosa; Isabella Cristina Genuino; Mario Junio da Silva";Em andamento;08|Pré-Teste|Parceiro;0;1;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;aDIzVKlwd0W80p9usJXXIWUAI1sq;CON#02;08|Pré-Teste|Parceiro;;Em andamento;Média;"marina.guerreiro;Leandro Rosa;Isabella Cristina Genuino;Mario Junio da Silva";;2026-03-03;2026-05-29;;;false;;;;;"Durante SIT;Ninecon";Integração Provisão de Comissões sobre vendas
CON#03;CON#03;CON#03;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;"Walceir Hernandes; Josimesio Pereira - Programa Conecta";Não iniciado;10|Deploy;13;3;Empresa;Programa Conecta - Acompanhamento interno.xlsx;B4YmN00sWEGdE_haWCMn12UAAL45;CON#03 - Contabilização Folha de Pagamento (Senior);10|Deploy;;Não iniciado;Média;"Walceir Hernandes;Josimesio Pereira - Programa Conecta";Jean Piere Moretto;2026-01-29;2026-04-20;2026-04-20;;true;;;;;19|Oracle/Ninecon;
CON#03;CON#03;CON#03;RICE igual;Sim;Sim;Consultoria;3;10|Deploy | Sem bucket;"Rubi Durán Vélez; Leandro Rosa; Mario Junio da Silva; Osni Campos; marina.guerreiro";Não iniciado;Sem bucket;13;3;Consultoria;AN.020 - Acompanhamento RICEs.xlsx;qIlUUdfSRUGGD932CbSpwmUAILcO;CON#03;Sem bucket;;Não iniciado;Média;"Rubi Durán Vélez; Leandro Rosa; Mario Junio da Silva; Osni Campos; marina.guerreiro";Eliana Mazzilli;2026-05-11;;;;false;;;;;;
CON#07;CON#07;CON#07;RICE igual;Sim;Sim;Empresa;13;00|Não Iniciado | 01|Doc. Funcional (EF) | 02|Em (EF) QA - | 03|Aprov. (EF) | 04|Doc. Técnica (ET) | 05|Em construção | 05|Elab.Rot.Teste | 07|Ajuste|Cons | 07|Pré-Teste|Cons | 08|Pré-Teste|Parceiro | 09|Ajuste|Key User | 09|Teste|Key User | 10|Deploy;;Concluída;10|Deploy;13;1;Empresa;Programa Conecta - Acompanhamento interno.xlsx;H7NNT7vjlkuCMYXxqpEoUmUAHW4W;CON#07 - Cadastro automático da cotação de moedas estrangeiras;10|Deploy;;Concluída;Média;;Jean Piere Moretto;2026-01-29;2026-05-11;2026-05-11;;false;2026-02-03;Jean Piere Moretto;;;19|Oracle/Ninecon;
